               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.079438,            0.020996,            0.011164,             0.80758,             0.81543,             0.83747,             0.33315,            0.070318,            0.016582,           0.0090457,            0.008812,            0.008812,            0.008812
                  38,            0.079085,            0.020777,            0.011536,             0.85546,              0.8663,             0.87973,             0.37736,            0.069602,            0.015885,           0.0088163,            0.008779,            0.008779,            0.008779
                  39,            0.081173,            0.021129,            0.011699,             0.84462,             0.84597,             0.85881,             0.34823,            0.068547,            0.016665,           0.0089144,            0.008746,            0.008746,            0.008746
                  40,            0.077801,            0.020047,            0.010902,             0.89953,             0.89692,              0.8924,             0.39984,            0.065764,            0.015835,           0.0090223,            0.008713,            0.008713,            0.008713
                  41,            0.078638,            0.020523,            0.011153,             0.88811,             0.89853,             0.90677,             0.43281,            0.065404,            0.015479,           0.0085464,             0.00868,             0.00868,             0.00868
                  42,             0.07792,            0.020009,            0.010934,             0.83249,             0.89572,             0.86209,              0.3648,            0.064478,             0.01583,           0.0086233,            0.008647,            0.008647,            0.008647
                  43,            0.077561,            0.020409,            0.011058,             0.88505,             0.89778,             0.90631,             0.40163,            0.064848,            0.015723,           0.0084712,            0.008614,            0.008614,            0.008614
                  44,             0.07651,            0.020494,            0.010898,              0.8285,             0.91219,             0.90031,             0.39397,            0.063788,            0.015324,           0.0083867,            0.008581,            0.008581,            0.008581
                  45,            0.076999,            0.020243,            0.010698,             0.58014,             0.69121,             0.65106,             0.24775,            0.075971,            0.018574,           0.0092684,            0.008548,            0.008548,            0.008548
                  46,            0.076514,            0.019848,            0.010854,             0.85866,             0.89526,             0.88779,             0.38527,            0.062747,            0.015803,           0.0082937,            0.008515,            0.008515,            0.008515
                  47,            0.076793,            0.020541,            0.010941,             0.89035,             0.90126,             0.90755,             0.41891,            0.062566,            0.015593,            0.008193,            0.008482,            0.008482,            0.008482
                  48,            0.076056,            0.020084,            0.010602,             0.83912,             0.82583,             0.84891,             0.35668,            0.066665,            0.015658,           0.0082102,            0.008449,            0.008449,            0.008449
                  49,            0.076265,            0.020472,              0.0108,             0.83463,             0.88528,             0.90593,             0.38539,            0.063603,            0.016028,           0.0084712,            0.008416,            0.008416,            0.008416
                  50,            0.075218,            0.020467,            0.010521,             0.45593,             0.43708,              0.4749,             0.16733,            0.090621,            0.020003,            0.015078,            0.008383,            0.008383,            0.008383
                  51,            0.075568,            0.019153,            0.010758,             0.72253,             0.70238,             0.69484,             0.24144,            0.076048,            0.016791,            0.010865,             0.00835,             0.00835,             0.00835
                  52,            0.073566,            0.019322,            0.010237,             0.86584,             0.89272,             0.89154,             0.41706,            0.063144,             0.01603,           0.0083392,            0.008317,            0.008317,            0.008317
                  53,            0.074684,            0.019612,            0.010653,             0.91405,             0.89421,             0.91733,             0.40472,            0.063427,            0.015422,           0.0084031,            0.008284,            0.008284,            0.008284
                  54,            0.074605,            0.019828,            0.010547,             0.85295,             0.89764,             0.90425,              0.4028,            0.063203,            0.016021,           0.0081196,            0.008251,            0.008251,            0.008251
                  55,            0.073577,            0.019711,            0.010508,             0.90944,             0.91256,             0.91972,              0.4288,            0.061695,            0.015045,           0.0080996,            0.008218,            0.008218,            0.008218
                  56,            0.073585,            0.020078,            0.010304,             0.91741,             0.87003,              0.9131,             0.41065,            0.061933,            0.015029,           0.0080878,            0.008185,            0.008185,            0.008185
                  57,            0.073878,            0.020229,            0.010462,             0.84129,             0.80884,              0.8227,             0.35699,            0.067192,            0.016667,           0.0094742,            0.008152,            0.008152,            0.008152
                  58,            0.073988,             0.01981,            0.010496,                0.91,             0.91432,             0.92725,             0.42839,            0.061446,            0.015338,            0.007987,            0.008119,            0.008119,            0.008119
                  59,            0.072739,            0.020286,            0.010311,             0.91505,             0.90099,             0.92189,             0.42696,            0.062385,            0.015311,           0.0079665,            0.008086,            0.008086,            0.008086
                  60,            0.073372,            0.019076,            0.010381,             0.88744,             0.91225,             0.92516,             0.43106,            0.062332,            0.015524,            0.007925,            0.008053,            0.008053,            0.008053
                  61,             0.07298,            0.020061,            0.010518,             0.90852,             0.91507,             0.92202,             0.44066,            0.061015,            0.015025,           0.0080189,             0.00802,             0.00802,             0.00802
                  62,            0.072921,            0.020501,            0.010709,             0.92423,               0.908,             0.92529,             0.44757,            0.060676,            0.014814,           0.0081248,            0.007987,            0.007987,            0.007987
                  63,             0.07184,             0.01933,            0.010144,             0.91365,             0.91416,             0.92402,             0.43718,            0.059515,            0.014759,           0.0079781,            0.007954,            0.007954,            0.007954
                  64,            0.071278,            0.019049,            0.010016,             0.89938,             0.87543,              0.9098,             0.40801,            0.062179,            0.015548,           0.0081899,            0.007921,            0.007921,            0.007921
                  65,            0.071164,            0.019892,            0.010105,             0.89317,             0.91102,             0.90709,             0.42101,            0.061197,            0.015177,           0.0080627,            0.007888,            0.007888,            0.007888
                  66,            0.071832,            0.019194,            0.010028,             0.79291,             0.79128,             0.76139,             0.34909,            0.070535,            0.017538,           0.0097252,            0.007855,            0.007855,            0.007855
                  67,            0.071794,            0.020457,            0.010133,             0.92144,             0.92264,             0.92712,             0.43758,            0.061213,             0.01505,           0.0079302,            0.007822,            0.007822,            0.007822
