               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.076354,            0.020961,             0.01074,             0.85252,             0.81883,             0.84441,              0.3687,            0.066187,            0.016193,           0.0088238,            0.008812,            0.008812,            0.008812
                  38,            0.076388,            0.020676,            0.010546,             0.86772,             0.83413,               0.843,             0.33867,            0.065919,             0.01589,           0.0087295,            0.008779,            0.008779,            0.008779
                  39,            0.076289,            0.020166,            0.010569,             0.80361,             0.80676,             0.81112,             0.34883,            0.066762,            0.016085,           0.0088284,            0.008746,            0.008746,            0.008746
                  40,            0.073078,            0.019575,            0.010339,             0.83188,             0.82135,              0.8337,              0.3628,            0.066194,            0.016094,           0.0087538,            0.008713,            0.008713,            0.008713
                  41,            0.075581,            0.020286,            0.010574,             0.72751,             0.61713,              0.6548,             0.27511,            0.078811,            0.018051,            0.012452,             0.00868,             0.00868,             0.00868
                  42,            0.074822,            0.020177,            0.010402,             0.87236,             0.84082,              0.8604,             0.37046,            0.065353,            0.015539,           0.0084048,            0.008647,            0.008647,            0.008647
                  43,            0.076062,            0.020652,            0.010567,             0.72052,              0.7999,              0.7387,              0.3183,            0.067307,             0.01669,           0.0085757,            0.008614,            0.008614,            0.008614
                  44,            0.075051,            0.020554,              0.0105,             0.84868,             0.82429,             0.84314,             0.36148,            0.066521,            0.015618,           0.0083765,            0.008581,            0.008581,            0.008581
                  45,            0.074601,            0.020429,            0.010519,             0.75303,             0.80036,             0.77136,             0.33495,            0.067381,            0.017161,            0.009214,            0.008548,            0.008548,            0.008548
                  46,            0.074044,            0.021218,            0.010409,             0.83974,             0.83867,             0.83729,             0.36023,            0.065625,            0.015833,           0.0083992,            0.008515,            0.008515,            0.008515
                  47,            0.073499,            0.020231,            0.010309,             0.87795,             0.82629,             0.85524,             0.36878,             0.06646,            0.015391,           0.0083243,            0.008482,            0.008482,            0.008482
                  48,            0.074175,            0.020131,            0.010277,             0.83398,             0.83761,             0.82502,             0.35995,            0.066051,            0.016076,           0.0085609,            0.008449,            0.008449,            0.008449
                  49,              0.0742,            0.021069,            0.010378,             0.86139,             0.84593,             0.85716,             0.38781,            0.064528,            0.015773,           0.0083938,            0.008416,            0.008416,            0.008416
                  50,            0.073649,            0.020447,            0.010317,              0.7532,             0.75012,             0.78415,             0.32586,            0.072116,             0.01634,            0.009063,            0.008383,            0.008383,            0.008383
                  51,            0.074079,            0.020711,            0.010754,             0.88855,             0.85217,              0.8646,             0.38778,            0.065025,            0.015447,           0.0083491,             0.00835,             0.00835,             0.00835
                  52,             0.07172,            0.019981,            0.010358,              0.8658,              0.8291,             0.85653,               0.389,            0.065335,            0.015329,           0.0084389,            0.008317,            0.008317,            0.008317
                  53,            0.073951,            0.019692,            0.010512,             0.88714,             0.85801,             0.86388,             0.38326,            0.063269,             0.01537,           0.0082423,            0.008284,            0.008284,            0.008284
                  54,            0.073059,             0.02094,            0.010262,              0.8609,             0.83914,             0.86711,             0.38708,            0.063572,            0.015326,           0.0081897,            0.008251,            0.008251,            0.008251
                  55,             0.07334,            0.020521,            0.010358,             0.86179,             0.85203,              0.8443,             0.36847,            0.064728,            0.015481,           0.0081952,            0.008218,            0.008218,            0.008218
                  56,            0.071691,            0.020458,           0.0099118,             0.86013,             0.85604,             0.85796,             0.38855,            0.063602,            0.015568,           0.0081997,            0.008185,            0.008185,            0.008185
                  57,            0.072989,            0.020463,            0.010298,             0.86327,             0.86302,             0.86339,             0.39497,            0.064431,            0.015636,           0.0080834,            0.008152,            0.008152,            0.008152
                  58,            0.071347,            0.020316,            0.010167,             0.86965,             0.85879,              0.8369,             0.37324,            0.066104,            0.015451,           0.0081401,            0.008119,            0.008119,            0.008119
                  59,            0.071258,            0.020045,           0.0099473,             0.88359,             0.86298,              0.8636,             0.39335,             0.06361,            0.015311,            0.008207,            0.008086,            0.008086,            0.008086
                  60,            0.072016,             0.02055,            0.010109,             0.85669,             0.84813,             0.85116,             0.37871,            0.065593,            0.017058,           0.0081375,            0.008053,            0.008053,            0.008053
